Material,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz
"4 mm asbestos or plywood boards fastened at random intervals (at least 0.4 * 0.6 m), over 75 mm cavity with 25 mm mineral wool (Kristensen, 1984)",0.55,0.3,0.1,0.05,0.05,0.05
"22 * 100 mm boards with 10 mm gaps, over 50 mm cavity with glass mat in front of mineral wool (Bobran, 1973)",0.05,0.25,0.6,0.15,0.05,0.1
"Plywood on battens fixed to solid backing (Ref. Dalenback, CATT)",0.3,0.2,0.15,0.13,0.1,0.08
"Thin plywood paneling (Ref. Dalenback, CATT)",0.42,0.21,0.1,0.08,0.06,0.06
"16 mm wood on 40 mm studs (Ref. Dalenback, CATT)",0.18,0.12,0.1,0.09,0.08,0.07
"Wood, 25 mm with air space (Ref. Dalenback, CATT)",0.19,0.14,0.09,0.06,0.06,0.05
"8 mm wood veneer on 50mm studs (Ref. Dalenback, CATT)",0.28,0.22,0.17,0.09,0.1,0.11
"3 mm wood veneer on 50 mm studs (Ref. Dalenback, CATT)",0.2,0.28,0.26,0.09,0.12,0.11
"Plywood paneling, 1 cm thick (Harris, 1991)",0.28,0.22,0.17,0.09,0.1,0.11
"Panel, 13 mm thick, without slots, on 30 mm studs with mineral wool",0.17,0.32,0.12,0.06,0.03,0.02
"Panel, 13 mm thick, 70 mm wide with 1 mm slots, on 30 mm studs with mineral wool (Stroem, 1979)",0.09,0.72,0.3,0.12,0.06,0.05
"Panel, 13 mm thick, 70 mm wide with 2 mm slots, on 30 mm studs with mineral wool (Stroem, 1979)",0.09,0.67,0.49,0.21,0.09,0.07
"Panel, 13 mm thick, 70 mm wide with 4 mm slots, on 30 mm studs with mineral wool (Stroem, 1979)",0.08,0.57,0.71,0.4,0.2,0.18
"Panel, 13 mm thick, 70 mm wide with 8 mm slots, on 30 mm studs with mineral wool (Stroem, 1979)",0.09,0.6,0.91,0.6,0.35,0.3
"Panel, 13 mm thick, 70 mm wide with 16 mm slots, on 30 mm studs with mineral wool (Stroem, 1979)",0.03,0.46,0.87,0.7,0.54,0.42
"Panel, 13 mm thick, 70 mm wide with 49 mm slots, on 30 mm studs with mineral wool (Stroem, 1979)",0.06,0.41,0.83,0.93,0.73,0.55
"Panel, 13 mm thick, 70 mm wide with 102 mm slots, on 30 mm studs with mineral wool",0.03,0.4,0.79,0.91,0.76,0.7
"Panel, 13 mm thick, 70 mm wide with 270 mm slots, on 30 mm studs with mineral wool",0.03,0.33,0.73,0.89,0.85,0.77
"Gustaf MDF-panel system (href= ""http://www.gustafs.com/__275"").",0.49333,0.68667,0.62667,0.43333,0.27333,0.18667
"Flex Acoustics AqFix panel system, dept of construction 70mm (href= ""http://www.flexac.com"").",0.6,0.14,0.08,0.08,0.08,0.08
"Lime cement plaster (Bobran, 1973)",0.02,0.02,0.03,0.04,0.05,0.05
"Glaze plaster (Bobran, 1973)",0.01,0.01,0.01,0.02,0.02,0.02
"Painted plaster surface (Kristensen, 1984)",0.02,0.02,0.02,0.02,0.02,0.02
"Plaster with wallpaper on backing paper (Bobran, 1973)",0.02,0.03,0.04,0.05,0.07,0.08
"Plaster, gypsum, or lime, rough finish on lath (Harris, 1991)",0.14,0.1,0.06,0.05,0.04,0.03
"Plaster, gypsum, or lime, smooth finish on lath (Harris, 1991)",0.14,0.1,0.06,0.04,0.04,0.03
"'Acoustic plaster' (Kristensen, 1984)",0.15,0.25,0.4,0.55,0.6,0.6
"Plasterboard on frame, 9.5 mm boards, 100 mm empty cavity (Fasold & Winkler, 1976)",0.11,0.13,0.05,0.03,0.02,0.03
"Plasterboard on frame, 9.5 mm boards, 100 mm cavity filled with mineral wool (Fasold & Winkler, 1976)",0.28,0.14,0.09,0.06,0.05,0.05
"Plasterboard on frame, 13 mm boards, 100 mm empty cavity (Fasold & Winkler, 1976)",0.08,0.11,0.05,0.03,0.02,0.03
"Plasterboard on frame, 13 mm boards, 100 mm cavity filled with mineral wool (Fasold & Winkler, 1976)",0.3,0.12,0.08,0.06,0.06,0.05
"2*13 mm plasterboard on steel frame, 50 mm mineral wool in cavity, surface painted (Petersen, 1983)",0.15,0.1,0.06,0.04,0.04,0.05
"gypsum board, 2 layers total 32 mm (Ref. Dalenback, CATT)",0.28,0.12,0.1,0.17,0.13,0.09
"13 mm plaster on 100 mm studs (Ref. Dalenback, CATT)",0.29,0.1,0.05,0.04,0.07,0.09
"13 mm plaster on 25 mm studs (no mineral wool) (Ref. Dalenback, CATT)",0.16,0.15,0.07,0.08,0.05,0.06
"30 mm plaster on metal lath (Ref. Dalenback, CATT)",0.14,0.1,0.06,0.05,0.04,0.03
"13 mm plaster on 25 mm studs (with mineral wool) (Ref. Dalenback, CATT)",0.26,0.2,0.1,0.07,0.04,0.07
"Plasterboard 9.5 mm with 6 mm o holes in square pattern with approx. 11% perforation. 100 mm from wall with 25 mm mineral wool at front of cavity (Kristensen, 1984)",0.08,0.2,0.5,0.4,0.4,0.35
"Slotted 13 mm gypsum board (12%), 106 x3 mm2 on studs and mineral wool (Ref. Dalenback, CATT)",0.2,0.22,0.71,0.99,0.55,0.42
"Perf. 13 mm gypsumboard (11%), d = 5 mm, on studs and mineral wool (Ref. Dalenback, CATT)",0.18,0.32,0.71,0.99,0.5,0.29
"Perf. 27 mm gypsumboard (16%), d = 4,5 mm 300mm from ceiling (Ref. Dalenback, CATT)",0.45,0.55,0.6,0.9,0.86,0.75
"Gyptone(href= ""http://gyptone.com"")",0.1,0.1,0.05,0.05,0,0.05
"Danoline Regula R. smooth gypsum plate with acoustic felt. suspended 50 mm (href= ""http://danoline.com"")",0.3,0.1,0.1,0.05,0.05,0.05
Steel trapez profile (Weighted values),0.3,0.25,0.2,0.1,0.1,0.15
"Viledon SoundTex. p = 15% Perf. alum.plate med 40 mm mineral wool. 350 mm suspended (href= ""http://viledon-akustik.de"")",0.6,0.62,0.77,0.74,0.65,0.81
"DAMPA 10 type N Aluminium plate. AL-21 akustic felt.(href= ""http://dampa.com"")0.06500",0.21333,0.44667,0.79,0.80333,0.575,0.575
"Linoleum or vinyl stuck to concrete (Petersen, 1983)",0.02,0.02,0.03,0.04,0.04,0.05
"Layer of rubber, cork, linoleum+underlay or vinyl+underlay stuck to concrete (Bobran, 1973)",0.02,0.02,0.04,0.05,0.05,0.1
"Linoleum on wooden floor (Ref. Dalenback, CATT)",0.15,0.12,0.11,0.1,0.07,0.08
"5 mm rubber carpet on concrete (Ref. Dalenback, CATT)",0.04,0.04,0.08,0.12,0.1,0.1
"Single microsorber - 0.1 mm perforated polyester cloth 30 mm from reflecting surface(href= ""http://www.microsorber.com/microsorber.htm"")",0.01,0.03,0.05,0.3,0.65,0.5
"Flex Acoustics, AqFlex portable fire retardent plastic tubes for large concert events total dept 700mm (href= ""http://www.flexac.com"")",0.5,0.5,0.5,0.3,0.2,0.1
"Needle felt 5mm stuck to concrete (Kristensen, 1984)",0.01,0.02,0.05,0.15,0.3,0.4
"6mm pile carpet bonded to closed-cell foam underlay (Parkin, Humphreys, & Cowell, 1979)",0.03,0.09,0.25,0.31,0.33,0.44
"6 mm pile carpet bonded to open-cell foam underlay (Parkin, Humphreys, & Cowell, 1979)",0.03,0.09,0.2,0.54,0.7,0.72
"9 mm tufted pile carpet on felt underlay (Parkin, Humphreys, & Cowell, 1979)",0.08,0.08,0.3,0.6,0.75,0.8
"Carpet heavy, on concrete (Harris, 1991)",0.02,0.06,0.14,0.37,0.6,0.65
"Carpet heavy, on hairfelt or foam rubber (Harris, 1991)",0.08,0.24,0.57,0.69,0.71,0.73
"Carpet heavy, with impermeable latex backing on hairfelt or foam rubber (Harris, 1991)",0.08,0.27,0.39,0.34,0.48,0.63
"10 mm soft carpet on concrete (Ref. Dalenback, CATT)",0.09,0.08,0.21,0.26,0.27,0.37
"Cotton curtains (0.5 kg/m2) draped to 3/4 area approx.   130 mm from wall (Petersen, 1983)",0.3,0.45,0.65,0.56,0.59,0.71
"Curtains (0.2 kg/m2) hung 90 mm from wall (Ingerslev & Petersen, 1953)",0.05,0.06,0.39,0.63,0.7,0.73
"Curtains of close-woven glass mat hung 50 mm from wall   (Kristensen, 1984)",0.03,0.03,0.15,0.4,0.5,0.5
"Drapes, light velour, hung straight, in contact with wall (Harris, 1991)",0.03,0.04,0.11,0.17,0.24,0.35
"Drapes, medium velour, draped to half area (Harris, 1991)",0.07,0.31,0.49,0.75,0.7,0.6
"Drapes, heavy velour (Harris, 1991)",0.14,0.35,0.55,0.72,0.7,0.65
"Curtains, cotton cloth (0.33 kg/m2) folded to 1/2 area (Ref. Dalenback, CATT)",0.07,0.31,0.49,0.81,0.66,0.54
"Curtains, cotton cloth (0.33 kg/m2) folded to 3/4 area (Ref. Dalenback, CATT)",0.04,0.23,0.14,0.57,0.53,0.4
"Curtains, cotton cloth (0.33 kg/m2) folded to 7/8 area (Ref. Dalenback, CATT)",0.03,0.12,0.15,0.27,0.37,0.42
"Curtains, densly woven window curtains 90mm from wall (Ref. Dalenback, CATT)",0.06,0.1,0.38,0.63,0.7,0.73
"Blinds in front of glass 45 degrees (Ref. Multiconsult, Norway)",0.18,0.08,0.14,0.22,0.37,0.34
"Water surface in swimming pool (Knudsen & Harris, 1950, 1978)",0.01,0.01,0.01,0.01,0.02,0.02
"Sand,100 mm thickness (Ref. Dalenback, CATT)",0.15,0.35,0.4,0.5,0.55,0.8
"Ballast or other crushed stone, 3.18 cm screened ballast 15.2 cm deep (Harris, 1991)",0.19,0.23,0.43,0.37,0.58,0.62
"Ballast or other crushed stone,  3.18 cm, 30.5 cm deep (Harris, 1991)",0.27,0.58,0.48,0.54,0.73,0.63
"Ballast or other crushed stone, 3.18 cm, 45.7 cm deep (Harris, 1991)",0.41,0.53,0.64,0.84,0.91,0.63
"Ballast or other crushed stone, 0.64 or less granite aggregate 15.2 deep (Harris, 1991)",0.22,0.64,0.7,0.79,0.88,0.72
"Floors, gravel, 100 mm thickness (Ref. Dalenback, CATT)",0.25,0.6,0.65,0.7,0.75,0.8
"Earth partly covered with concrete(Ref. Multiconsult, Norway)",0.4,0.5,0.55,0.6,0.7,0.8
"Solid glass blocks (Ref. Multiconsult, Norway)",0.02,0.02,0.02,0.02,0.02,0.02
"Single pane of glass (Ref. Multiconsult, Norway)",0.18,0.06,0.04,0.03,0.02,0.02
"Single pane of glass, 3 mm (Fasold & Winkler, 1976)",0.08,0.04,0.03,0.03,0.02,0.02
"Double glazing, 2-3 mm glass, 10 mm gap (Kristensen, 1984)",0.1,0.07,0.05,0.03,0.02,0.02
"Double glazing, 2-3 mm glass, >30 mm gap (Fasold & Winkler, 1976)",0.15,0.05,0.03,0.03,0.02,0.02
"Glass, large panes of heavy plate glass (Harris, 1991)",0.18,0.06,0.04,0.03,0.02,0.02
"Glass, ordinary window glass (Harris, 1991)",0.35,0.25,0.18,0.12,0.07,0.04
"Solid wooden door (Bobran, 1973)",0.14,0.1,0.06,0.08,0.1,0.1
"Canvas covering, from the danish stadium Parken (Ref. Ramboell, Denmark)",0.9,0.7,0.5,0.35,0.25,0.15
"Ventilation grille (approx. per sq. m.) (Kristensen, 1984)",0.6,0.6,0.6,0.6,0.6,0.6
"Open panel. opening area 20 % Panel 10 x 80 mm. 20 mm slits. 50 mm mineralwool (Ref. Multiconsult, Norway)",0.09991,0.39913,0.83936,0.63086,0.29891,0.11902
"Open panel. opening area 30 % Panel 10 x 70 mm. 30 mm slits. 50 mm mineralwool (Ref. Multiconsult, Norway)",0.097,0.37047,0.79909,0.78024,0.46381,0.21758
"Open panel. opening area 50 % Panel 10 x 50 mm. 50 mm slits. 50 mm mineralwool (Ref. Multiconsult, Norway)",0.09422,0.34374,0.72978,0.89314,0.73825,0.49007
"Open panel. opening area 50 % Panel 20 x 20 mm. 20 mm slits. 50 mm mineralwool (Ref. Multiconsult, Norway)",0.09474,0.34832,0.74339,0.88101,0.68571,0.4211
"(Example 10100-10199) S-LINE Office screen. wood Strict Line (href= ""http://www.sline.se/en/"")",0.02,0.2,0.7,1,0.9,0.7
"Orchestra with instruments on podium , 1.5 sq.m per person (Bobran, 1973)",0.27,0.53,0.67,0.93,0.87,0.8
"Areas with audience, orchestra or choir including narrow aisles (Bobran, 1973)",0.6,0.74,0.88,0.96,0.93,0.85
"Floor with cloth-upholstered seats (Bobran, 1973)",0.49,0.66,0.8,0.88,0.82,0.7
"Audience on wooden chairs, 1 per sq. m (Meyer, Kunstmann, & Kuttruff, 1964)",0.16,0.24,0.56,0.69,0.81,0.78
"Audience on wooden chairs, 2 per sq. m (Meyer, Kunstmann, & Kuttruff, 1964)",0.24,0.4,0.78,0.98,0.96,0.87
"Empty chairs, upholstered with leather cover (Beranek, 1962)",0.4,0.5,0.58,0.61,0.58,0.5
"Empty chairs, upholstered with cloth cover (Beranek, 1962)",0.44,0.6,0.77,0.89,0.82,0.7
"Audience, heavily upholstered seats (Beranek & Hidaka, 1998, group 1)",0.72,0.8,0.86,0.89,0.9,0.9
"Audience, medium upholstered seats (Beranek & Hidaka, 1998, group 2)",0.62,0.72,0.8,0.83,0.84,0.85
"Audience, lightly upholstered seats (Beranek & Hidaka, 1998, group 3)",0.51,0.64,0.75,0.8,0.82,0.83
"Chairs, unoccupied moderatelly upholstered chairs (0.90 m x 0.55 m) (Ref. Dalenback, CATT)",0.44,0.56,0.67,0.74,0.83,0.87
"Chairs, unoccupied average cloth-covered well upholstered areaes (seats with perforated bottoms) (Ref. Dalenback, CATT)",0.49,0.66,0.8,0.88,0.82,0.7
"1Chairs, heavily upholstered concert hall chairs, average. (Ref. Dalenback, CATT)",0.72,0.79,0.83,0.84,0.83,0.79
"Chairs, lightly upholstered concert hall chairs, average. (Ref. Dalenback, CATT)",0.35,0.45,0.57,0.61,0.59,0.55
"Chairs, medium upholstered concert hall chairs, average. (Ref. Dalenback, CATT)",0.56,0.64,0.7,0.72,0.68,0.62
"Mineral spray-on materials, 1.27 cm mineral fiber (Harris, 1991)",0.05,0.15,0.45,0.7,0.8,0.8
"Mineral spray-on materials, 1.9 cm mineral fiber (Harris, 1991)",0.1,0.3,0.6,0.9,0.9,0.95
"Mineral spray-on materials, 2.5 cm mineral fiber (Harris, 1991)",0.16,0.45,0.7,0.9,0.9,0.85
"Mineral spray-on materials, 1.27 cm mineral fiber on metal lath, 2.54 cm airspace (Harris, 1991)",0.25,0.5,0.8,0.9,0.9,0.85
"50 mm mineral wool (40 kg/m3), glued to wall, untreated surface (Kristensen, 1984)",0.15,0.7,0.6,0.6,0.85,0.9
"50 mm mineral wool (40 kg/m3), glued to wall, surface sprayed with thin plastic solution (Kristensen, 1984)",0.15,0.7,0.6,0.6,0.75,0.75
"50 mm mineral wool (70 kg/m3) 300 mm in front of wall (Kristensen, 1984)",0.7,0.45,0.65,0.6,0.75,0.65
"Rockfon (href= ""http://www.rockfon.com/sw2601.asp"")",0.45,0.5,0.55,0.65,0.7,0.65
"Ecophon (href= ""http://www.ecophon.com/"")",0.15,0.5,0.95,1,0.95,0.85
"OWA Acoustic Harmony. Kant A C og F6 15 mm hardpresset mineralfiberplate. 200 mm utforing (href= ""http://suspended-ceiling-systems.co.uk"")",0.45,0.61,0.64,0.75,0.91,0.91
"USG Auratone Favia 15 mm vatpresset mineralfiberplate. 200 mm utforing  (href= ""http://usg.com"")",0.45,0.6,0.6,0.8,0.8,0.65
"AMF Star (Thermatex) 15 mm hardly compressed mineralfiberplate(href= ""http://amfceilings.co.uk"")",0.34,0.43,0.54,0.67,0.65,0.64
"50 mm wood-wool set in mortar (Kristensen, 1984)",0.08,0.17,0.35,0.45,0.65,0.65
"25 mm thick wood-wool, against ceiling (Ref. Dalenback, CATT)",0.05,0.21,0.59,0.83,0.87,0.91
"50 mm thick wood-wool, against ceiling (Ref. Dalenback, CATT)",0.15,0.56,0.88,0.99,0.99,0.95
"100 mm thick wood-wool, against ceiling (Ref. Dalenback, CATT)",0.58,0.69,0.96,0.97,0.99,0.91
"25 mm thick wood-wool, 200 mm from ceiling (Ref. Dalenback, CATT)",0.48,0.49,0.7,0.78,0.94,0.93
"50 mm thick wood-wool, 200 mm from ceiling (Ref. Dalenback, CATT)",0.49,0.63,0.83,0.97,0.99,0.96
"100 mm  thick wood-wool, 200 mm from ceiling (Ref. Dalenback, CATT)",0.49,0.64,0.89,0.98,0.99,0.96
"Treullit Akustikk Discrete 20. Dunisil-covered backside 20 mm plate. (href= ""http://www.cembrit.com"")",0.02,0.17,0.5,0.65,0.72,0.75
"Trolltex Anti fire. p = 19.5 % Perforated woodfiber plate. 50 mm mineral woll matt with 135 mm cavity behind (href= ""http://erhverv.lhammerich.dk/sw239.asp"")",0.7,0.86333,0.77333,0.54333,0.21667,0.20667
"Barrisol Microacoustics Microperforated panel 120mm cavity with 40mm min. wool (href= ""http://www.barrisol.com"")",0.2,0.57,0.99,0.82,0.76,0.7
"Sonogamma Modulator 250Hz slit absorper with diffusive effects, thicknes 100 mm (href= ""http://www.sonogamma.com"")",0.24,0.89,0.37,0.18,0.07,0.14
"Deweton acoustic plate Type A (Helmholtz-resonator), 25 mm dick,  11 kg/m^2, visual slits 4 mm wide with 34 mm distance. mineral wool behind. Montage: 24 mm laths. distance to wall 30 mm. (href= ""http://www.tavapan.ch/tavapan"")",0.22,0.72,0.53,0.42,0.62,0.55
"Brick, unglazed ",0.02,0.02,0.03,0.04,0.05,0.07
"Brick, unglazed and painted ",0.01,0.01,0.02,0.02,0.02,0.03
"Concrete, tough ",0.01,0.02,0.04,0.06,0.08,0.1
"Concrete block, painted ",0.1,0.05,0.06,0.07,0.09,0.08
"Glass, heavy (large panes) ",0.18,0.06,0.04,0.03,0.02,0.02
"Glass, ordinary window ",0.35,0.25,0.18,0.12,0.07,0.04
"Gypsum board, 1/2 in thick (nailed to 2 x 4s, 16 in oc) ",0.29,0.1,0.05,0.04,0.07,0.09
"Gypsum board, 1 layer, 5/8 in think (screwed to 1 x 3s, 16 in oc with airspaces filed with fibrous insulation) ",0.55,0.14,0.08,0.04,0.12,0.11
Construction no. 8 with 2 layers of 5/8-in-thick gypsum board) ,0.28,0.12,0.1,0.07,0.13,0.09
marble or glazed title ,0.01,0.01,0.01,0.01,0.02,0.02
Plaster on brick ,0.01,0.02,0.02,0.03,0.04,0.05
Plaster on concrete block (or 1 in thick on lath) ,0.12,0.09,0.07,0.05,0.05,0.04
Plaster on lath ,0.14,0.1,0.06,0.05,0.04,0.03
"Plywood, 3/8-in paneling ",0.28,0.22,0.17,0.09,0.1,0.11
Steel ,0.05,0.1,0.1,0.1,0.07,0.02
"Venetian blinds, metal ",0.06,0.05,0.07,0.15,0.13,0.17
"Wood, 1/4-in paneling, with airspace behind ",0.42,0.21,0.1,0.08,0.06,0.06
"Wood, 1-in paneling with airspace behind ",0.19,0.14,0.09,0.06,0.06,0.05
"Concrete block, coarse ",0.36,0.44,0.31,0.29,0.39,0.25
"Lightweight drapery, 10 oz/yd2, flat on wall (Note: Sound-reflecting at most frequencies.) ",0.03,0.04,0.11,0.17,0.24,0.35
"Mediumweight drapery, 14 oz/yd2, draped to half area (i.e., 2 ft of drapery to 1 ft of wall) ",0.07,0.31,0.49,0.75,0.7,0.6
"Heavyweight drapery, 18 oz/yd2, draped to half area ",0.14,0.35,0.55,0.72,0.7,0.65
"Fiberglass fabric curtain, 8 1/2 oz/yd2, draped to half area (Note: The deeper the airspace behind the drapery (up to 12 in), the greater the low-frequency absorption.) ",0.09,0.32,0.68,0.83,0.39,0.76
"Shredded-wood fiberboard, 2 in thick on concrete (mtg. A) ",0.15,0.26,0.62,0.94,0.64,0.92
"Thick, fibrous material behind open facing ",0.6,0.75,0.82,0.8,0.6,0.38
"Carpet, heavy, on 5/8-in perforated mineral fiberboard with airspace behind ",0.37,0.41,0.63,0.85,0.96,0.92
"Wood, 1/2-in paneing, perforated 3/16-in-diameter holes, 11% open area, with 2 1/2-in glass fiber in airspace behind ",0.4,0.9,0.8,0.5,0.4,0.3
Concrete or terazzo ,0.01,0.01,0.02,0.02,0.02,0.02
"Linoleum, rubber, or asphalt title on concrete ",0.02,0.03,0.03,0.03,0.03,0.02
Marble or glazed tile ,0.01,0.01,0.01,0.01,0.02,0.02
Wood ,0.15,0.11,0.1,0.07,0.06,0.07
Wood parquet on concrete ,0.04,0.04,0.07,0.06,0.06,0.07
"Carpet, heavy, on concrete ",0.02,0.06,0.14,0.37,0.6,0.65
"Carpet, heavy, on foam rubber ",0.08,0.24,0.57,0.69,0.71,0.73
"Carpet, heavy, with impermeable latex backing on foam rubber ",0.08,0.27,0.39,0.34,0.48,0.63
Indoor-outdoor carpet ,0.01,0.05,0.1,0.2,0.45,0.65
Concrete ,0.01,0.01,0.02,0.02,0.02,0.02
"Gypsum board, 1/2 in thick ",0.29,0.1,0.05,0.04,0.07,0.09
"Gypsum board, 1/2 in thick, in suspension system ",0.15,0.1,0.05,0.04,0.07,0.09
Plaster on lath ,0.14,0.1,0.06,0.05,0.04,0.03
"Plywood, 3/8 in thick ",0.28,0.22,0.17,0.09,0.1,0.11
"Acoustical board, 3/4 in thick, in suspension system (mtg. E) ",0.76,0.93,0.83,0.99,0.99,0.94
"Shredded-wood fiberboard, 2 in thick on lay-in grid (mtg. E) ",0.59,0.51,0.53,0.73,0.88,0.74
"Thin, porous sound-absorbing material, 3/4 in thick (mtg. B) ",0.1,0.6,0.8,0.82,0.78,0.6
"Thick, porous sound-absorbing material, 2 in thick (mtg. B), or thin material with airspace behind (mtg. D) ",0.38,0.6,0.78,0.8,0.78,0.7
"Sprayed cellulose fibers, 1 in thick on concrete (mtg. A) ",0.08,0.29,0.75,0.98,0.93,0.76
"Glass-fiber roof fabric, 12 oz/yd2 ",0.65,0.71,0.82,0.86,0.76,0.62
"Glass-fiber roof fabric, 37 1/2 oz/yd2 (Note:Sound-reflecting at most frequencies.) ",0.38,0.23,0.17,0.15,0.09,0.06
"Polyurethane foam, 1 in thick, open cell, reticulated ",0.07,0.11,0.2,0.32,0.6,0.85
"Parallel glass-fiberboard panels, 1 in thick by 18 in deep, spaced 18 in apart, suspended 12 in below ceiling ",0.07,0.2,0.4,0.52,0.6,0.67
"Fabric well-upholstered seats, with perforated seat pans, unoccupied ",0.19,0.37,0.56,0.67,0.61,0.59
"Leather-covered upholstered seats, unoccupied ",0.44,0.54,0.6,0.62,0.58,0.5
"Audience, seated in upholstered seats ",0.39,0.57,0.8,0.94,0.92,0.87
"Congregation, seated in wooden pews ",0.57,0.61,0.75,0.86,0.91,0.86
"Chair, metal or wood seat, unoccupied ",0.15,0.19,0.22,0.39,0.38,0.3
"Students, informally dressed, seated in tablet-arm chairs 0.30 ",0.3,0.41,0.49,0.84,0.87,0.84
"Gravel, loose and moist, 4 in thick ",0.25,0.6,0.65,0.7,0.75,0.8
"Grass, marion bluegrass, 2 in high ",0.11,0.25,0.6,0.69,0.92,0.99
"Snow, freshly fallen, 4 in thick ",0.45,0.75,0.9,0.95,0.95,0.95
"Soil, rough ",0.15,0.25,0.4,0.55,0.6,0.6
"Trees, balsam firs, 20 ft2 ground area per tree, 8 ft high 0.03 ",0.03,0.06,0.11,0.17,0.27,0.31
Water surface (swimming pool) ,0.01,0.01,0.01,0.02,0.02,0.03
"Walls, hard surfaces average (brick walls, plaster, hard floors, etc.)",0.02,0.02,0.03,0.03,0.04,0.05
"Walls, rendered brickwork",0.01,0.02,0.02,0.03,0.03,0.04
Rough concrete,0.02,0.03,0.03,0.03,0.04,0.07
Smooth unpainted concrete,0.01,0.01,0.02,0.02,0.02,0.05
Rough lime wash,0.02,0.03,0.04,0.05,0.04,0.03
"Smooth brickwork with flush pointing, painted",0.01,0.01,0.02,0.02,0.02,0.02
"Smooth brickwork, 10 mm deep pointing, pit sand mortar",0.08,0.09,0.12,0.16,0.22,0.24
"Brick wall, stuccoed with a rough finish",0.03,0.03,0.03,0.04,0.05,0.07
Ceramic tiles with a smooth surface,0.01,0.01,0.01,0.02,0.02,0.02
Limestone walls,0.02,0.02,0.03,0.04,0.05,0.05
Reverberation chamber walls,0.01,0.01,0.01,0.02,0.02,0.04
Concrete floor,0.01,0.03,0.05,0.02,0.02,0.02
Marble floor,0.01,0.01,0.01,0.02,0.02,0.02
"2 * 13 mm plasterboard on steel frame, 50 mm mineral wool in cavity, surface painted",0.15,0.1,0.06,0.04,0.04,0.05
"Wooden lining, 12 mm fixed on frame",0.27,0.23,0.22,0.15,0.1,0.07
"Single pane of glass, 3 mm",0.08,0.04,0.03,0.03,0.02,0.02
"Glass window, 0.68 kg/m2",0.1,0.05,0.04,0.03,0.03,0.03
Lead glazing,0.3,0.2,0.14,0.1,0.05,0.05
"Double glazing, 2-3 mm glass, > 30 mm gap",0.15,0.05,0.03,0.03,0.02,0.02
"Double glazing, 2-3 mm glass, 10 mm gap",0.1,0.07,0.05,0.03,0.02,0.02
"Double glazing, lead on the inside",0.15,0.3,0.18,0.1,0.05,0.05
"Wood, 1.6 cm thick, on 4 cm wooden planks",0.18,0.12,0.1,0.09,0.08,0.07
Thin plywood panelling,0.42,0.21,0.1,0.08,0.06,0.06
16 mm wood on 40 mm studs,0.18,0.12,0.1,0.09,0.08,0.07
"Audience floor, 2 layers, 33 mm on sleepers over concrete",0.09,0.06,0.05,0.05,0.05,0.04
"Wood, stage floor, 2 layers, 27 mm over airspace",0.1,0.07,0.06,0.06,0.06,0.06
Solid wooden door,0.14,0.1,0.06,0.08,0.1,0.1
"Linoleum, asphalt, rubber, or cork tile on concrete",0.02,0.03,0.03,0.03,0.03,0.02
Cotton carpet,0.07,0.31,0.49,0.81,0.66,0.54
"Loop pile tufted carpet, 1.4 kg/m2, 9.5 mm pile height: On hair pad, 3.0 kg/m2",0.1,0.4,0.62,0.7,0.63,0.88
"Thin carpet, cemented to concrete",0.02,0.04,0.08,0.2,0.35,0.4
6 mm pile carpet bonded to closed-cell foam underlay,0.03,0.09,0.25,0.31,0.33,0.44
6 mm pile carpet bonded to open-cell foam underlay,0.03,0.09,0.2,0.54,0.7,0.72
9 mm tufted pile carpet on felt underlay,0.08,0.08,0.3,0.6,0.75,0.8
Needle felt 5 mm stuck to concrete,0.02,0.02,0.05,0.15,0.3,0.4
10 mm soft carpet on concrete,0.09,0.08,0.21,0.26,0.27,0.37
Hairy carpet on 3 mm felt,0.11,0.14,0.37,0.43,0.27,0.25
5 mm rubber carpet on concrete,0.04,0.04,0.08,0.12,0.1,0.1
"Carpet 1.35 kg/m2, on hair felt or foam rubber",0.08,0.24,0.57,0.69,0.71,0.73
"Cocos fibre roll felt, 29 mm thick (unstressed), reverse side clad with paper, 2.2 kg/m2, 2 Rayl",0.1,0.13,0.22,0.35,0.47,0.57
Cotton curtains (0.5 kg/m2) draped to 3/4 area approx. 130 mm from wall,0.3,0.45,0.65,0.56,0.59,0.71
Curtains (0.2 kg/m2) hung 90 mm from wall,0.05,0.06,0.39,0.63,0.7,0.73
Cotton cloth (0.33 kg/m2) folded to 7/8 area,0.03,0.12,0.15,0.27,0.37,0.42
Densely woven window curtains 90 mm from wall,0.06,0.1,0.38,0.63,0.7,0.73
"Vertical blinds, 15 cm from wall, half opened",0.03,0.09,0.24,0.46,0.79,0.76
"Vertical blinds, 15 cm from wall, open",0.03,0.06,0.13,0.28,0.49,0.56
Tight velvet curtains,0.05,0.12,0.35,0.45,0.38,0.36
"Curtain fabric, 15 cm from wall",0.1,0.38,0.63,0.52,0.55,0.65
"Curtain fabric, folded, 15 cm from wall",0.12,0.6,0.98,1,1,1
Curtains of close-woven glass mat hung 50 mm from wall,0.03,0.03,0.15,0.4,0.5,0.5
"Studio curtains, 22 cm from wall",0.36,0.26,0.51,0.45,0.62,0.76
Wooden chairs without cushion  (2 seats per m2),0.05,0.08,0.1,0.12,0.12,0.12
